Organization,Code,Sector,KitchenType,Enrolled 2019/2020,AgeGroup,Distance to citycentre (km),Urban/Rural
Sala kommun,1,Primary school,Production,64,6-9,9.6,Rural
Sala kommun,2,Primary school,Production,309,6-12,1.2,Urban
Sala kommun,3,Primary school,Satellite,170,6-12,3.7,Urban
Sala kommun,4,Primary school,Production,78,6-12,18.4,Rural
Sala kommun,5,Primary school,Production,127,6-12,8,Rural
Sala kommun,6,Primary school,Production,85,6-12,23.9,Rural
Sala kommun,7,Primary school,Satellite,222,6-12,1.8,Urban
Sala kommun,8,Primary school,Production,95,6-12,24.2,Rural
Sala kommun,9,Primary school,Production,118,6-12,14.5,Rural
Sala kommun,10,Primary school,Production,113,6-12,10.5,Rural
Sala kommun,11,Primary school,Production,107,6-12,23.1,Rural
Sala kommun,12,Primary school,Production,118,6-12,0.75,Urban
Sala kommun,13,Primary school,Production,692,13-15,0.75,Urban
Sala kommun,14,Primary school,Satellite,151,10-12,1.1,Urban
Sala kommun,15,Primary school,Satellite,130,6-7,1.3,Urban
Tierps kommun,16,Primary school,Production,496,6-15,0.5,Urban
Tierps kommun,17,Primary school,Production,464,6-15,0.75,Urban
Härnösand kommun,18,Primary school,Satellite,454,13-15,1.8,Urban
Sala kommun,19,Preschool,Production,,2-5,9.6,Rural
Sala kommun,20,Preschool,Satellite,,2-5,1.2,Urban
Sala kommun,21,Preschool,Satellite,,2-5,3.7,Urban
Sala kommun,22,Preschool,Production,,2-5,0.45,Urban
Sala kommun,23,Preschool,Production,,2-5,2.5,Urban
Sala kommun,24,Preschool,Production,,2-5,0.8,Urban
Sala kommun,25,Preschool,Production,,2-5,1.4,Urban
Sala kommun,26,Preschool,Production,,2-5,0.95,Urban
Sala kommun,27,Preschool,Production,,2-5,2.1,Urban
Sala kommun,28,Preschool,Production,,2-5,23.9,Rural
Sala kommun,29,Preschool,Production,,2-5,23.1,Rural
Sala kommun,30,Preschool,Production,,2-5,24.2,Rural
Sala kommun,31,Preschool,Production,,2-5,14.5,Rural
Sala kommun,32,Preschool,Production,,2-5,17.1,Rural
Sala kommun,33,Preschool,Production,,2-5,15,Rural
Sala kommun,34,Preschool,Production,,2-5,2.1,Urban